,Alvin and the Chipmunks,Stand Up Animation,Bridget Jones,My Big Fat Greek Wedding,Pauly Shore,Cheech and Chong,The Purge,The Hunger Games,Rambo,Bourne,Teen Shakespeare,High School Musical,Dirty Harry,Bruce Lee,Chucky,Halloween,Toxic Avenger,Universal Soldier,Airport,Barbershop,John Grisham,Body Snatchers,Cube,Jumanji,Lethal Weapon,Neeson/Collet-Serra,Oh God!,Godzilla,Major League,Magic Mike,Draculas,Blair Witch
eliotprops,2,0,1,0,5,0,0,1,0,2,1,0,0,1,0,3,2,0,1,0,4,0,0,1,2,0,1,0,3,0,1,0
no idea lol?!?,3,0,0,1,0,2,0,1,0,1,0,2,0,5,0,1,1,0,2,0,0,1,0,3,1,0,0,2,0,1,4,0
greggslover69,1,0,0,3,0,1,0,2,1,0,0,5,0,1,2,0,2,0,1,0,1,0,0,4,1,0,0,3,0,1,2,0
gooey,2,0,1,0,0,1,0,3,0,2,1,0,1,0,0,4,2,0,0,1,1,0,0,3,1,0,0,5,0,1,2,0
Let them fight,0,1,0,2,0,1,0,3,0,2,1,0,0,1,0,4,3,0,0,1,1,0,0,2,0,1,0,5,1,0,2,0
ZeppoMarxist,0,1,2,0,0,3,1,0,1,0,4,0,0,2,1,0,3,0,1,0,0,2,0,1,1,0,0,5,1,0,2,0
bringleby. (the period is in the username),1,0,2,0,1,0,3,0,1,0,0,5,1,0,0,2,1,0,0,3,1,0,2,0,1,0,2,0,0,4,1,0
andytgerm,0,1,2,0,0,1,0,5,0,2,1,0,0,1,0,3,0,1,2,0,1,0,0,3,1,0,4,0,0,2,1,0
"jack, think dracula win",0,2,1,0,0,1,0,4,1,0,2,0,0,1,0,3,0,2,1,0,0,3,0,1,0,1,0,2,0,1,5,0
David (Mod) Predicts Patreon,0,2,1,0,0,1,0,3,0,1,0,2,0,4,0,1,2,0,1,0,5,0,0,1,0,2,0,1,0,1,3,0
Chipmunks unite,5,0,0,1,1,0,2,0,2,0,0,1,0,3,1,0,2,0,0,1,3,0,1,0,1,0,4,0,2,0,0,1
FunnyFilmFan,0,1,0,2,0,1,0,3,1,0,4,0,0,1,2,0,3,0,0,1,2,0,0,1,1,0,0,5,0,1,2,0
DietOatMilk,0,5,1,0,0,1,0,2,0,2,1,0,0,1,0,3,1,0,2,0,3,0,0,1,1,0,0,4,2,0,0,1
57wests prediction,0,2,1,0,0,1,5,0,0,1,0,3,1,0,2,0,1,0,0,4,2,0,0,1,3,0,0,1,0,1,2,0
sharkradiant,2,0,1,0,0,1,0,5,0,3,1,0,0,1,0,2,3,0,0,1,1,0,2,0,1,0,0,4,2,0,1,0
LanceCo,0,2,0,1,1,0,0,3,2,0,1,0,0,1,4,0,3,0,0,1,0,2,0,1,0,1,0,5,1,0,2,0
michdonovan,0,2,0,1,0,3,0,1,0,1,2,0,0,1,4,0,5,0,0,1,2,0,1,0,1,0,0,2,0,3,1,0
deathdrive,0,1,2,0,0,1,4,0,2,0,1,0,0,3,0,1,3,0,1,0,1,0,2,0,1,0,0,5,0,2,1,0
Neochad will get over it,0,2,1,0,1,0,3,0,0,1,5,0,0,1,2,0,2,0,0,1,4,0,0,1,1,0,0,2,0,3,1,0
bruce_the_shark,1,0,2,0,1,0,0,5,1,0,0,3,1,0,0,2,0,2,1,0,4,0,0,1,1,0,0,3,0,1,2,0
Dracula Bracketla,0,2,1,0,0,1,0,3,1,0,0,2,0,1,0,4,2,0,0,1,1,0,0,3,0,1,0,2,0,1,5,0
Glyptodont | Oh oh! They say he’s got to go!,0,2,1,0,0,1,3,0,0,4,1,0,0,2,0,1,2,0,0,1,3,0,1,0,0,1,0,5,0,1,2,0
sam.e.whipple,0,2,1,0,1,0,0,5,0,1,3,0,0,1,2,0,3,0,1,0,2,0,1,0,4,0,0,1,1,0,0,2
Liarock411's Prediction (Patreon Stylez),1,0,0,3,0,2,0,1,0,1,0,5,0,1,2,0,2,0,0,1,1,0,4,0,0,1,0,2,0,1,0,3
Escappy,1,0,2,0,0,3,1,0,2,0,0,1,0,5,0,1,0,1,0,2,1,0,0,3,1,0,0,4,0,1,2,0
The Balpod of Songbirds & Casts (meandean),0,2,0,1,0,1,0,5,0,1,3,0,0,2,1,0,2,0,0,1,4,0,0,1,0,1,0,2,0,3,1,0
officialgoku,0,1,2,0,1,0,0,5,0,3,1,0,0,1,2,0,2,0,0,1,1,0,0,3,1,0,0,2,0,4,1,0
The Wolvie Games,1,0,2,0,0,1,0,5,0,1,0,2,0,1,3,0,3,0,0,1,2,0,1,0,1,0,0,4,0,1,2,0
gsmith97,3,0,0,1,0,1,0,2,0,2,1,0,0,1,0,5,3,0,0,1,2,0,0,1,2,0,0,1,0,4,1,0
PartyBluejay,0,2,0,1,1,0,0,5,0,1,0,2,0,1,0,3,2,0,0,1,0,4,0,1,2,0,0,1,1,0,3,0
caillin,1,0,2,0,0,1,0,4,0,2,0,1,0,1,0,3,2,0,0,1,5,0,0,1,3,0,0,1,0,1,2,0
revengeoftherats,0,1,2,0,1,0,0,3,1,0,0,4,0,1,2,0,2,0,0,1,3,0,0,1,1,0,0,2,0,5,1,0
Aurora's Bracket,0,1,2,0,0,1,0,5,0,1,2,0,0,1,3,0,1,0,2,0,1,0,0,3,1,0,0,4,0,1,2,0
HIOM,2,0,1,0,1,0,0,3,1,0,0,2,1,0,5,0,2,0,1,0,4,0,1,0,0,3,0,1,1,0,2,0
jake-o-lantern,0,2,1,0,1,0,0,3,0,1,2,0,1,0,0,5,2,0,0,1,3,0,1,0,1,0,0,4,0,1,2,0
Berger’s Wacky Patreon Predicition,2,0,1,0,1,0,0,4,0,1,0,3,0,1,0,2,3,0,1,0,2,0,0,1,1,0,0,5,0,1,2,0
c_driggs6592,1,0,0,3,0,2,0,1,4,0,0,1,1,0,2,0,3,0,1,0,0,1,2,0,5,0,0,1,2,0,0,1
Untitled,2,0,0,1,1,0,0,5,0,1,0,3,0,1,0,2,2,0,0,1,4,0,0,1,0,2,0,1,0,3,1,0
louis.iv | a force of podcasting,0,2,0,1,1,0,0,4,0,3,0,1,2,0,0,1,3,0,0,1,0,1,0,2,1,0,0,5,0,1,2,0
BrockYourSocksOff,2,0,1,0,0,1,0,5,0,3,1,0,0,1,2,0,3,0,1,0,0,2,1,0,0,1,0,4,0,1,2,0
Eóin,0,1,0,2,0,1,0,5,0,3,1,0,0,2,0,1,0,1,0,4,2,0,0,1,0,1,0,3,0,2,1,0
baileybear92,2,0,0,1,0,1,0,3,0,2,1,0,1,0,0,5,2,0,1,0,3,0,0,1,1,0,0,4,0,2,0,1
